target_id	length	eff_length	est_counts	tpm
NM_000073.3	2690	2449.87	124.116	3.08438
NM_000074.3	1852	1611.87	10.143	0.383105
NM_000075.4	1865	1624.87	762.34	28.5636
NM_000076.2	1943	1702.87	45.1576	1.61448
NM_000077.5	978	737.943	17.9614	1.48183
NM_000078.3	1691	1450.87	26	1.09101
NM_000079.4	1984	1743.87	17	0.593496
NM_000080.4	2482	2241.87	48.2441	1.31014
NM_000081.4	13466	13225.9	2523.97	11.6183
NM_000082.4	9414	9173.87	357.607	2.37321
NM_000083.3	3187	2946.87	0	0
NM_000084.5	9472	9231.87	118.384	0.7807
NM_000085.5	2562	2321.87	0	0
NM_000086.2	1879	1638.87	49.8175	1.85064
NM_000087.5	2784	2543.87	0	0
NM_000088.4	5914	5673.87	1536	16.4814
NM_000089.4	5072	4831.87	1045	13.1669
NM_000090.4	5490	5249.87	258	2.99195
NM_000091.5	8038	7797.87	133	1.03838
NM_000092.5	9984	9743.87	135	0.843499
NM_000093.5	8442	8201.87	157.544	1.16943
NM_000094.4	9231	8990.87	2157	14.606
NM_000095.3	2452	2211.87	3	0.0825742
NM_000096.4	4452	4211.87	278.836	4.03047
NM_000097.7	2709	2468.87	995	24.5362
NM_000098.3	2699	2458.87	615.222	15.2328
NM_000099.4	793	554.979	18435.9	2022.41
NM_000100.4	588	358.747	715	121.339
NM_000101.4	692	456.803	338	45.0474
NM_000102.4	1750	1509.87	43	1.73385
NM_000103.4	4403	4162.87	0.00034654	5.06808e-06
NM_000104.4	5218	4977.87	771	9.4296
NM_000106.6	1588	1347.87	86.8989	3.92509
NM_000107.3	1815	1574.87	239.297	9.25071
NM_000108.5	3537	3296.87	1762.5	32.5468
NM_000109.4	13854	13613.9	282.451	1.26312
NM_000110.4	4423	4182.87	251.956	3.66719
NM_000111.3	2882	2641.87	3	0.0691341
NM_000112.4	8054	7813.87	550.403	4.28841
NM_000113.3	2080	1839.87	975	32.2627
NM_000115.5	4274	4033.87	16.7854	0.253333
NM_000116.5	1906	1665.87	104.936	3.83503
NM_000117.3	1281	1040.87	1255	73.4059
NM_000118.3	3201	2960.87	769.304	15.8184
NM_000119.3	2434	2193.87	0	0
NM_000120.4	1780	1539.87	0	0
NM_000121.4	2411	2170.87	171.179	4.80066
NM_000122.2	2718	2477.87	2003.39	49.2232
NM_000123.4	3888	3647.87	1718	28.6726
NM_000124.4	9001	8760.87	0	0
NM_000125.4	6327	6086.87	0.000470287	4.70383e-06
NM_000126.4	2289	2048.87	799.347	23.7522
NM_000127.3	8243	8002.87	414.833	3.15581
NM_000128.4	3053	2812.87	9	0.194794
NM_000129.4	3828	3587.87	217	3.68219
NM_000130.5	9132	8891.87	482.729	3.30516
NM_000131.4	3144	2903.87	21.7809	0.456647
NM_000132.4	9032	8791.87	277.777	1.92352
NM_000133.4	2800	2559.87	0	0
NM_000134.4	2226	1985.87	33.5918	1.02983
NM_000135.4	5452	5211.87	331.882	3.87679
NM_000136.3	4592	4351.87	35.6515	0.498751
NM_000137.4	1456	1215.87	330.682	16.558
NM_000138.5	11609	11368.9	1211	6.48499
NM_000139.5	3648	3407.87	0	0
NM_000140.5	7689	7448.87	1129.14	9.22867
NM_000141.5	4624	4383.87	2193.46	30.4618
NM_000142.5	4301	4060.87	18171.6	272.431
NM_000143.4	1791	1550.87	1501.98	58.962
NM_000144.5	6978	6737.87	752.897	6.80292
NM_000145.4	2762	2521.87	0	0
NM_000146.4	871	631.625	13994	1348.85
NM_000147.5	2043	1802.87	417	14.0817
NM_000148.4	4214	3973.87	17.8999	0.274232
NM_000149.4	2565	2324.87	0	0
NM_000150.3	2416	2175.87	0	0
NM_000151.4	4164	3923.87	0	0
NM_000152.5	3751	3510.87	83.445	1.447
NM_000153.4	3794	3553.87	1279.01	21.9106
NM_000154.2	1397	1156.87	144.016	7.57896
NM_000155.4	1756	1515.87	1039.2	41.737
NM_000156.6	1110	869.867	1500.2	104.997
NM_000157.4	2291	2050.87	1603.9	47.6127
NM_000158.4	2941	2700.87	267	6.01853
NM_000159.4	1852	1611.87	553.782	20.9166
NM_000160.5	2030	1789.87	2	0.0680286
NM_000161.3	2916	2675.87	237.749	5.40925
NM_000162.5	2745	2504.87	7.80333	0.189661
NM_000163.5	4899	4658.87	29.8256	0.389754
NM_000164.4	3310	3069.87	305.429	6.05722
NM_000165.5	3083	2842.87	14128	302.556
NM_000166.6	1937	1696.87	912	32.7212
NM_000167.6	4410	4169.87	0	0
NM_000168.6	8405	8164.87	782	5.83096
NM_000169.3	1318	1077.87	146.764	8.28963
NM_000170.3	3843	3602.87	503	8.49967
NM_000171.4	1812	1571.87	0	0
NM_000172.4	2465	2224.87	69.7948	1.90986
NM_000173.7	2514	2273.87	152	4.06969
NM_000174.5	877	637.625	0	0
NM_000175.5	4125	3884.87	21025.8	329.502
NM_000176.3	6778	6537.87	39.0384	0.363529
NM_000177.5	2619	2378.87	3038.56	77.7643
NM_000178.4	1909	1668.87	1270.64	46.3535
NM_000179.3	4265	4024.87	712.194	10.7728
NM_000180.4	3680	3439.87	4	0.0707947
NM_000181.4	2199	1958.87	312.537	9.71358
NM_000182.5	2943	2702.87	3527	79.4444
NM_000183.3	1997	1756.87	2796.03	96.8914
NM_000184.3	586	356.857	2	0.341207
NM_000185.4	2203	1962.87	155	4.80754
NM_000186.4	3962	3721.87	466.183	7.62566
NM_000187.4	1674	1433.87	26	1.10394
NM_000188.3	3602	3361.87	6308.18	114.237
NM_000189.5	5626	5385.87	178	2.01209
NM_000190.4	1505	1264.87	188.425	9.06936
NM_000191.3	1570	1329.87	316.59	14.4934
NM_000192.3	3921	3680.87	0	0
NM_000193.4	4650	4409.87	238.25	3.2892
NM_000194.3	1395	1154.87	1398	73.6983
NM_000195.5	3703	3462.87	5.59386e-06	9.83464e-08
NM_000196.4	1896	1655.87	110	4.04436
NM_000197.2	1159	918.867	84	5.56556
NM_000198.4	1675	1434.87	4.86285	0.206329
NM_000199.5	2705	2464.87	817.685	20.1964
NM_000200.3	532	308.247	0	0
NM_000201.3	2967	2726.87	509.755	11.381
NM_000202.8	7580	7339.87	107546	892.05
NM_000203.5	2174	1933.87	1536.13	48.3599
NM_000204.5	1978	1737.87	0	0
NM_000206.3	1480	1239.87	25	1.22757
NM_000207.3	465	249.66	0	0
NM_000208.4	9463	9222.87	852.289	5.62605
NM_000209.4	2603	2362.87	2	0.0515315
NM_000210.4	5816	5575.87	1234.98	13.4843
NM_000211.5	2807	2566.87	438	10.3885
NM_000212.3	5941	5700.87	164.503	1.75677
NM_000213.5	5896	5655.87	414.978	4.46692
NM_000214.3	5940	5699.87	1888	20.166
NM_000215.4	5386	5145.87	571.391	6.76017
NM_000216.4	6265	6024.87	1665	16.8248
NM_000217.3	7985	7744.87	3561.22	27.9941
NM_000218.3	3224	2983.87	74.5154	1.52037
NM_000219.6	3505	3264.87	16.5638	0.30887
NM_000220.6	2333	2092.87	71.2537	2.07276
NM_000221.3	2397	2156.87	836.307	23.6061
NM_000222.3	5147	4906.87	555.414	6.8912
NM_000223.4	1880	1639.87	3	0.111377
NM_000224.3	1413	1172.87	159.366	8.27234
NM_000226.4	2296	2055.87	0	0
NM_000227.6	5618	5377.87	72.5971	0.821848
NM_000228.3	4014	3773.87	228.862	3.69206
NM_000229.2	1496	1255.87	649.973	31.509
NM_000230.3	3427	3186.87	69.3982	1.32576
NM_000231.3	1594	1353.87	0	0
NM_000232.5	4248	4007.87	3463.89	52.6178
NM_000233.4	3076	2835.87	5	0.107341
NM_000234.3	3125	2884.87	328.927	6.94155
NM_000235.4	2496	2255.87	945.121	25.5068
NM_000236.3	2559	2318.87	8	0.210037
NM_000237.3	3565	3324.87	6215	113.802
NM_000238.4	4292	4051.87	3568.67	53.6208
NM_000239.3	1490	1249.87	149.611	7.28756
NM_000240.4	3931	3690.87	1856.32	30.6201
NM_000242.3	3521	3280.87	0	0
NM_000243.3	3506	3265.87	7.13071	0.132928
NM_000244.3	2785	2544.87	0	0
NM_000245.4	6822	6581.87	227.703	2.10621
NM_000246.4	16061	15820.9	898.055	3.45585
NM_000247.3	1366	1125.87	128.818	6.96581
NM_000248.4	4475	4234.87	1.45376e-05	2.08994e-07
NM_000249.4	2494	2253.87	602.702	16.2801
NM_000250.2	3216	2975.87	54	1.10475
NM_000251.3	3115	2874.87	1337.12	28.3163
NM_000252.3	3412	3171.87	709.773	13.6234
NM_000253.4	4043	3802.87	30.9176	0.494968
NM_000254.3	10547	10306.9	2833.76	16.7386
NM_000255.4	3811	3570.87	1593	27.1597
NM_000256.3	4217	3976.87	9	0.137779
NM_000257.4	6027	5786.87	587.047	6.17606
NM_000258.3	885	645.497	57	5.37605
NM_000259.3	12238	11997.9	8513.27	43.1991
NM_000260.4	7483	7242.87	152.902	1.28524
NM_000261.2	2100	1859.87	4	0.130936
NM_000262.3	3696	3455.87	356.637	6.28277
NM_000263.4	2475	2234.87	788	21.4663
NM_000264.5	8662	8421.87	218.892	1.58235
NM_000265.6	1459	1218.87	41.6091	2.07833
NM_000266.4	1719	1478.87	466.069	19.1868
NM_000267.3	12381	12140.9	2645	13.2635
NM_000268.4	5950	5709.87	246.545	2.62877
NM_000269.3	890	650.432	776.634	72.6938
NM_000270.4	1477	1236.87	292	14.3728
NM_000271.5	4760	4519.87	2618.6	35.2717
NM_000272.5	2690	2449.87	14.6708	0.364581
NM_000273.3	1645	1404.87	214	9.27387
NM_000274.4	2039	1798.87	2946.92	99.7358
NM_000275.3	3143	2902.87	40.3176	0.845571
NM_000276.4	5173	4932.87	2865.79	35.3693
NM_000277.3	3759	3518.87	14	0.242219
NM_000278.5	4189	3948.87	0	0
NM_000280.5	2500	2259.87	105.006	2.82888
NM_000281.4	787	549.145	761.337	84.4058
NM_000282.4	2484	2243.87	555.048	15.0597
NM_000283.4	3294	3053.87	368.597	7.34826
NM_000284.4	3349	3108.87	1860.64	36.437
NM_000285.4	1907	1666.87	1692	61.799
NM_000286.3	2617	2376.87	389	9.96385
NM_000287.4	3444	3203.87	3805.39	72.3114
NM_000288.4	1454	1213.87	207	10.382
NM_000289.6	3090	2849.87	3829.03	81.7988
NM_000290.4	837	598.058	35.9809	3.66278
NM_000291.4	4812	4571.87	9669.27	128.76
NM_000292.3	5077	4836.87	1159.27	14.5916
NM_000293.3	5459	5218.87	173.128	2.01964
NM_000294.3	5384	5143.87	892.139	10.5591
NM_000295.5	3006	2765.87	10.0423	0.221048
NM_000296.4	14137	13896.9	11592.1	50.7843
NM_000297.4	5089	4848.87	603.174	7.57329
NM_000298.6	3047	2806.87	0	0
NM_000299.4	5389	5148.87	0	0
NM_000300.4	991	750.943	0	0
NM_000301.5	3530	3289.87	71.0103	1.31409
NM_000302.4	2976	2735.87	2975.2	66.2069
NM_000303.3	2285	2044.87	523	15.5711
NM_000304.4	1828	1587.87	139.962	5.36635
NM_000305.3	1610	1369.87	2483.37	110.369
NM_000306.4	1488	1247.87	7	0.341517
NM_000307.5	3838	3597.87	3046	51.5427
NM_000308.4	1858	1617.87	1897.96	71.4212
NM_000309.5	1672	1431.87	21.3124	0.906173
NM_000310.4	2284	2043.87	4485.97	133.625
NM_000311.5	2435	2194.87	9899.57	274.594
NM_000312.4	1769	1528.87	0	0
NM_000313.4	3372	3131.87	304.265	5.91467
NM_000314.8	8515	8274.87	3.61177e-08	2.6573e-10
NM_000315.4	791	553.09	0	0
NM_000316.3	2153	1912.87	25.5692	0.813794
NM_000317.3	872	632.625	298	28.6782
NM_000318.3	4169	3928.87	422.715	6.55032
NM_000319.5	3213	2972.87	3.46294	0.0709172
NM_000320.3	1507	1266.87	9203.74	442.299
NM_000321.3	4768	4527.87	1088	14.6291
NM_000322.5	3001	2760.87	140	3.0872
NM_000324.3	1895	1654.87	0	0
NM_000325.6	2294	2053.87	0	0
NM_000326.5	1638	1397.87	118	5.13923
NM_000327.4	1358	1117.87	457	24.889
NM_000328.3	3053	2812.87	43.9757	0.9518
NM_000329.3	2605	2364.87	10	0.25744
NM_000330.4	3031	2790.87	2.07789	0.0453279
NM_000331.6	665	431.152	0	0
NM_000332.3	10636	10395.9	1260.98	7.38467
NM_000333.4	7250	7009.87	109.629	0.952137
NM_000334.4	7805	7564.87	28	0.22534
NM_000335.5	8516	8275.87	109.863	0.808202
NM_000336.3	2560	2319.87	1	0.0262433
NM_000337.6	9383	9142.87	88.6363	0.590217
NM_000338.3	4708	4467.87	80	1.09011
NM_000339.3	5567	5326.87	0.0370857	0.000423855
NM_000340.2	3181	2940.87	0	0
NM_000341.4	2969	2728.87	47.3503	1.05639
NM_000342.4	4954	4713.87	86.7932	1.12096
NM_000343.4	4832	4591.87	0	0
NM_000344.4	1482	1241.87	559.594	27.4335
NM_000345.4	3177	2936.87	1187.35	24.6137
NM_000346.4	3931	3690.87	4212.6	69.487
NM_000348.4	4519	4278.87	0	0
NM_000349.3	2565	2324.87	382.869	10.0262
NM_000350.3	7328	7087.87	42	0.360758
NM_000351.7	6352	6111.87	0	0
NM_000352.6	4921	4680.87	1197.3	15.5725
NM_000353.3	3945	3704.87	84.7211	1.3922
NM_000354.6	2360	2119.87	0	0
NM_000355.4	2192	1951.87	1018	31.7526
NM_000356.4	4792	4551.87	224.835	3.00716
NM_000358.3	2712	2471.87	154	3.79296
NM_000359.3	2744	2503.87	119	2.89346
NM_000360.4	1827	1586.87	456.757	17.5238
NM_000361.3	4040	3799.87	169	2.7077
NM_000362.5	4597	4356.87	8062	112.655
NM_000363.5	843	603.998	1	0.100797
NM_000364.4	1156	915.867	0	0
NM_000365.6	1351	1110.87	7713.98	422.765
NM_000366.6	1265	1024.87	16.0978	0.95627
NM_000367.5	3184	2943.87	520.591	10.7661
NM_000368.5	8598	8357.87	2754.39	20.0638
NM_000369.5	4308	4067.87	54.3205	0.812979
NM_000370.3	2633	2392.87	326.71	8.31241
NM_000371.4	616	385.088	96	15.1773
NM_000372.5	2062	1821.87	1	0.0334169
NM_000373.4	6652	6411.87	73.5026	0.697911
NM_000374.5	1193	952.867	748.126	47.7996
NM_000375.3	1336	1095.87	1632.71	90.7052
NM_000376.3	4616	4375.87	26.4223	0.367611
NM_000377.3	1829	1588.87	169	6.47562
NM_000378.6	2971	2730.87	0	0
NM_000379.4	5715	5474.87	97.8285	1.08786
NM_000380.4	1400	1159.87	292.319	15.3437
NM_000381.4	6168	5927.87	417.584	4.28872
NM_000382.3	3703	3462.87	1760.86	30.9579
NM_000383.4	2690	2449.87	203.848	5.06578
NM_000384.3	14121	13880.9	26	0.114035
NM_000386.4	2307	2066.87	579	17.0549
NM_000387.6	1778	1537.87	330	13.064
NM_000388.4	10062	9821.87	514.475	3.18898
NM_000389.5	2117	1876.87	333.428	10.8156
NM_000390.4	5438	5197.87	1461.55	17.1188
NM_000391.4	3492	3251.87	10542	197.366
NM_000392.5	5806	5565.87	44	0.481285
NM_000393.5	6829	6588.87	298	2.75352
NM_000394.4	1139	898.867	9.22907	0.625093
NM_000395.3	4853	4612.87	49	0.646707
NM_000396.4	1629	1388.87	116	5.08487
NM_000397.4	4276	4035.87	245	3.69583
NM_000398.7	2916	2675.87	15840.6	360.405
NM_000399.5	2979	2738.87	78.5749	1.74661
NM_000400.4	4108	3867.87	1746.1	27.4839
NM_000401.3	3469	3228.87	1218.31	22.9716
NM_000402.4	2406	2165.87	390.566	10.9786
NM_000403.4	1665	1424.87	40.5924	1.73441
NM_000404.4	2523	2282.87	624.809	16.6628
NM_000405.5	3603	3362.87	2418.65	43.7871
NM_000406.3	4402	4161.87	65	0.95084
NM_000407.5	959	719.015	0	0
NM_000408.5	5812	5571.87	1645.24	17.9767
NM_000409.5	1904	1663.87	0	0
NM_000410.4	5176	4935.87	138.468	1.70792
NM_000411.8	8247	8006.87	222.084	1.68864
NM_000412.5	1947	1706.87	1	0.0356683
NM_000413.4	1274	1033.87	48.2354	2.84042
NM_000414.4	2628	2387.87	2100.83	53.5628
NM_000415.3	1942	1701.87	0	0
NM_000416.3	2074	1833.87	748.302	24.8423
NM_000417.3	3218	2977.87	31.0195	0.634178
NM_000418.4	3624	3383.87	427.854	7.69777
NM_000419.5	3479	3238.87	213	4.00377
NM_000420.3	2494	2253.87	128	3.45751
NM_000421.5	2143	1902.87	249.775	7.9914
NM_000422.3	1517	1276.87	15	0.715201
NM_000423.3	2450	2209.87	0	0
NM_000424.4	2238	1997.87	87.6197	2.67004
NM_000425.5	5099	4858.87	12341.7	154.64
NM_000426.4	9696	9455.87	694.577	4.472
NM_000427.3	1245	1004.87	10	0.605862
NM_000428.3	8460	8219.87	519	3.84401
NM_000429.3	3384	3143.87	162	3.13713
NM_000430.4	5589	5348.87	13215	150.414
NM_000431.4	2833	2592.87	660.996	15.5203
NM_000432.4	783	545.145	0	0
NM_000433.4	2267	2026.87	0	0
NM_000434.4	3353	3112.87	1343.43	26.2746
NM_000435.3	8680	8439.87	13090	94.4249
NM_000436.4	3294	3053.87	3425.53	68.2904
NM_000437.4	3487	3246.87	585.306	10.9749
NM_000438.6	1501	1260.87	0	0
NM_000439.5	5136	4895.87	381.496	4.74398
NM_000440.3	5645	5404.87	311.861	3.51284
NM_000441.2	4737	4496.87	148.776	2.01421
NM_000442.5	6813	6572.87	1237.38	11.4612
NM_000443.4	4293	4052.87	28.7436	0.431779
NM_000444.6	6288	6047.87	111.798	1.12542
NM_000445.5	14798	14557.9	18255.8	76.3457
NM_000446.7	2393	2152.87	26.4555	0.748136
NM_000447.3	2249	2008.87	371.012	11.2439
NM_000448.3	6588	6347.87	2.36573e-07	2.26893e-09
NM_000449.4	3577	3336.87	193.013	3.52152
NM_000450.2	3875	3634.87	18	0.301485
NM_000451.3	3757	3516.87	45.9285	0.795076
NM_000452.3	3350	3109.87	9	0.176191
NM_000453.3	3604	3363.87	87.2574	1.57923
NM_000454.5	895	655.366	4142	384.776
NM_000455.5	3293	3052.87	2352.84	46.921
NM_000456.3	2445	2204.87	134.994	3.72748
NM_000457.5	6490	6249.87	0	0
NM_000458.4	2790	2549.87	0	0
NM_000459.5	4683	4442.87	78.9925	1.08244
NM_000460.4	1918	1677.87	0	0
NM_000461.5	7430	7189.87	319.919	2.70896
NM_000462.5	5319	5078.87	500.406	5.99843
NM_000463.3	2361	2120.87	1.87624	0.0538588
NM_000465.4	5478	5237.87	171	1.98758
NM_000466.3	4369	4128.87	966.064	14.2448
NM_000474.4	1630	1389.87	9	0.394232
NM_000475.5	1813	1572.87	10	0.387071
NM_000476.3	2192	1951.87	890.822	27.7858
NM_000477.7	2285	2044.87	110	3.27499
NM_000478.6	2536	2295.87	417.431	11.0693
NM_000479.5	1809	1568.87	465.191	18.0521
NM_000480.3	4357	4116.87	493.549	7.2987
NM_000481.4	1997	1756.87	914.673	31.6963
NM_000482.4	1471	1230.87	1	0.0494619
NM_000483.5	660	426.542	130.061	18.5638
NM_000484.4	3583	3342.87	10265.1	186.95
NM_000485.3	931	691.366	231.922	20.4228
NM_000486.6	4180	3939.87	1	0.0154526
NM_000487.6	4294	4053.87	1818.45	27.3095
NM_000488.4	1552	1311.87	0	0
NM_000489.6	11165	10924.9	14231	79.305
NM_000490.5	619	387.891	5.78098	0.907349
NM_000491.5	1098	857.867	154.022	10.9306
NM_000492.4	6070	5829.87	78	0.814551
NM_000493.4	3302	3061.87	40	0.795346
NM_000494.4	5612	5371.87	169	1.91533
NM_000495.5	6513	6272.87	1425.39	13.834
NM_000496.3	769	531.361	26.1238	2.99316
NM_000497.4	3540	3299.87	0	0
NM_000498.3	2936	2695.87	2.37175	0.0535614
NM_000499.5	2600	2359.87	36.133	0.932178
NM_000500.9	2006	1765.87	16.5746	0.571436
NM_000501.4	3397	3156.87	95.984	1.85108
NM_000502.6	2719	2478.87	84	2.06304
NM_000503.6	4163	3922.87	2.62981	0.0408134
NM_000504.4	1536	1295.87	46.322	2.17625
NM_000505.4	2036	1795.87	355	12.0347
NM_000506.5	1990	1749.87	23	0.800212
NM_000507.4	1473	1232.87	39	1.92589
NM_000508.5	3654	3413.87	2.36254	0.0421322
NM_000509.6	1565	1324.87	4	0.18381
NM_000510.4	1855	1614.87	0	0
NM_000511.6	3116	2875.87	372.47	7.88506
NM_000512.5	2344	2103.87	328.751	9.51328
NM_000513.2	1998	1757.87	0	0
NM_000514.4	4171	3930.87	73.2141	1.13394
NM_000515.5	823	584.294	3	0.312588
NM_000516.7	1854	1613.87	13213.9	498.479
NM_000517.6	576	347.615	701.298	122.825
NM_000518.5	628	396.333	645	99.0789
NM_000519.4	620	388.693	0	0
NM_000520.6	4785	4544.87	1526.14	20.4435
NM_000521.4	1812	1571.87	786.288	30.4543
NM_000522.5	5015	4774.87	1	0.0127503
NM_000523.4	2416	2175.87	0	0
NM_000524.4	4572	4331.87	92	1.29299
NM_000525.4	3412	3171.87	1564.54	30.0299
NM_000526.5	1636	1395.87	17	0.741459
NM_000527.5	5173	4932.87	435.591	5.37603
NM_000528.4	3185	2944.87	488.042	10.0896
NM_000529.2	3652	3411.87	19.338	0.345066
NM_000530.8	1951	1710.87	61	2.17068
NM_000531.6	1522	1281.87	12	0.569929
NM_000532.5	1799	1558.87	1024	39.992
NM_000533.5	3011	2770.87	74624.6	1639.64
NM_000534.5	3156	2915.87	164.385	3.43223
NM_000535.7	5093	4852.87	887.173	11.1299
NM_000536.4	2388	2147.87	1	0.0283449
NM_000537.4	1462	1221.87	10	0.498263
NM_000538.4	2306	2065.87	270	7.9569
NM_000539.3	2768	2527.87	6	0.144504
NM_000540.3	15400	15159.9	872.362	3.50335
NM_000541.5	1596	1355.87	112	5.02902
NM_000542.5	3550	3309.87	3.36711	0.061934
NM_000543.5	2410	2169.87	1330.15	37.3208
NM_000544.3	5679	5438.87	81.0568	0.907326
NM_000545.8	3442	3201.87	3.66974	0.0697774
NM_000546.6	2512	2271.87	140.632	3.76864
NM_000547.6	4090	3849.87	0.51458	0.00813748
NM_000548.5	6415	6174.87	2067.86	20.3881
NM_000549.5	528	304.693	2.21303	0.442188
NM_000550.3	2896	2655.87	4	0.091693
NM_000551.4	4414	4173.87	2493.5	36.3709
NM_000552.5	8830	8589.87	6481	45.9344
NM_000553.6	7575	7334.87	570.953	4.73904
NM_000554.6	4366	4125.87	133.097	1.96397
NM_000555.3	9433	9192.87	0	0
NM_000557.5	2368	2127.87	1.5321	0.0438355
NM_000558.5	577	348.544	243.702	42.5681
NM_000559.3	587	357.857	0	0
NM_000560.4	1505	1264.87	121	5.82402
NM_000561.4	1164	923.867	1061.76	69.9678
NM_000562.3	2367	2126.87	0	0
NM_000564.5	5808	5567.87	0	0
NM_000565.4	5764	5523.87	47.7268	0.526019
NM_000566.4	1333	1092.87	0	0
NM_000567.3	2015	1774.87	0	0
NM_000569.8	2100	1859.87	252.478	8.26465
NM_000570.5	2143	1902.87	0	0
NM_000572.3	1630	1389.87	0	0
NM_000574.5	2590	2349.87	34.918	0.904666
NM_000575.5	2017	1776.87	8	0.274105
NM_000576.3	1507	1266.87	7	0.336395
NM_000577.5	1671	1430.87	4.87317	0.207345
NM_000578.4	3608	3367.87	134.042	2.42309
NM_000579.4	3661	3420.87	0	0
NM_000581.4	899	659.366	1088.19	100.475
NM_000582.3	1519	1278.87	883.868	42.0769
NM_000583.4	1685	1444.87	0	0
NM_000584.4	1642	1401.87	13.6301	0.591937
NM_000585.5	2015	1774.87	1.40563	0.0482156
NM_000586.4	1029	788.867	0	0
NM_000587.4	5716	5475.87	304.43	3.38467
NM_000588.4	924	684.366	1	0.0889598
NM_000589.4	615	384.166	0	0
NM_000590.2	605	374.551	4	0.650177
NM_000591.4	1356	1115.87	247.844	13.5222
NM_000593.6	2685	2444.87	626.819	15.6088
NM_000594.4	1678	1437.87	5	0.211706
NM_000595.4	1416	1175.87	5	0.258877
NM_000596.4	1514	1273.87	2	0.0955846
NM_000597.3	1414	1173.87	114.243	5.92506
NM_000598.5	2613	2372.87	125	3.20715
NM_000599.4	6239	5998.87	8186	83.0778
NM_000600.5	1127	886.867	3	0.205942
NM_000601.6	5834	5593.87	1.43797	0.0156502
NM_000602.5	3156	2915.87	1.51092	0.0315468
NM_000603.5	4366	4125.87	873.231	12.8853
NM_000605.4	1144	903.867	5	0.336781
NM_000606.3	881	641.561	38	3.60602
NM_000607.4	764	526.467	4.48704	0.518884
NM_000608.4	759	521.625	7.51296	0.87687
NM_000609.7	3537	3296.87	326.892	6.03649
NM_000610.4	5431	5190.87	80.4785	0.943892
NM_000611.6	7563	7322.87	2659.75	22.1127
NM_000612.6	5580	5339.87	400.792	4.56953
NM_000613.3	1575	1334.87	51	2.32603
NM_000614.4	1902	1661.87	0	0
NM_000615.7	5789	5548.87	261.243	2.8663
NM_000616.5	3049	2808.87	0	0
NM_000617.3	4132	3891.87	825.005	12.9057
NM_000618.5	7277	7036.87	1.03496e-05	8.95419e-08
NM_000619.3	1211	970.867	3	0.188124
NM_000620.5	12007	11766.9	1975.52	10.2212
NM_000621.5	5415	5174.87	1046.21	12.3084
NM_000623.4	3991	3750.87	9.3591	0.151909
NM_000624.6	2278	2037.87	10	0.298749
NM_000625.4	4206	3965.87	147	2.25664
